阿党比周	a'dang'bi'zhou	相互勾结，相互偏袒，结党营私。
白首同归	bai'shou'tong'gui	晋潘岳《金谷集作诗》：“春荣谁不慕，岁寒良独希；投分寄石友，白首同所归。”原谓友谊坚贞，至老不变。南朝宋刘义庆《世说新语·仇隙》：“孙秀既恨石崇不与绿珠，又憾潘岳昔遇之不以礼……收石崇、欧阳坚石（欧阳建），同日收岳。石先送市，亦不相知。潘后至，石谓潘曰：‘安仁，卿亦复尔邪？’潘曰：‘可谓白首同所归。’”当时以为潘诗适成其谶。后转指年龄皆老而同时死亡。
白首为郎	bai'shou'wei'lang	《汉武故事》载：武帝尝至郎署，见郎官颜驷“须鬓皓白，衣服不整”。武帝问他：“何时为郎？”答道：“以文帝时为郎。”武帝又问为什么“老而不遇”？他回答说：“文帝好文而臣尚武，景帝好老而臣尚少，陛下好少而臣已老，是以三世不遇。”后因以“白首为郎”慨叹虽有才能而至老不遇。
白首相庄	bai'shou'xiang'zhuang	谓夫妇到老犹相敬爱。
白首一节	bai'shou'yi'jie	谓年虽老而志节不衰。
白天见鬼	bai'tian'jian'gui	见“白日见鬼”。
白头不终	bai'tou'bu'zhong	谓夫妇不能偕老。
白头叠雪	bai'tou'die'xue	见“白头蹀跇”。
白头蹀跇	bai'tou'die'yi	形容老人发白体弱。
白头而新	bai'tou'er'xin	同“白头如新”。
白头如新	bai'tou'ru'xin	谓相交虽久而并不知己，像新知一样。
白头相并	bai'tou'xiang'bing	又作：白头偕老。
白头偕老	bai'tou'xie'lao	谓夫妇共同生活到老。
白头之叹	bai'tou'zhi'tan	谓妇女被遗弃而作晚景凄凉之叹。
白兔赤乌	bai'tu'chi'wu	月亮和太阳的代称。多借指时间。
白屋之士	bai'wu'zhi'shi	指贫寒的士人。
白雪阳春	bai'xue'yang'chun	《白雪》《阳春》是战国时期楚国的两支高雅歌曲。见《文选·宋玉〈楚王问〉》。后亦用以泛指高雅的诗歌和其他文学艺术。
白衣苍狗	bai'yi'cang'gou	唐杜甫《可叹》诗：“天上浮云如白衣，斯须改变如苍狗。”后以“白衣苍狗”比喻世事变化无常。
白衣卿相	bai'yi'qing'xiang	指尚未发迹的读书人。
白衣秀士	bai'yi'xiu'shi	指尚未做官的读书人。
白衣宰相	bai'yi'zai'xiang	指宰相家属中身无名位而仗势擅权的人。
白蚁争穴	bai'yi'zheng'xue	比喻竞逐名利。
白鱼赤乌	bai'yu'chi'wu	《史记·周本纪》：“武王渡河，中流，白鱼跃入王舟中，武王俯取以祭。既渡，有火自上复于下，至于王屋，流为乌，其色赤，其声魄云。”后遂以“白鱼赤乌”为祥瑞之兆。
白鱼登舟	bai'yu'deng'zhou	见“白鱼入舟”。
白鱼入舟	bai'yu'ru'zhou	《尚书大传》卷三：“八百诸侯俱至孟津，白鱼入舟。”《史记·周本纪》：“武王渡河，中流，白鱼跃入王舟中，武王府取以祭。”裴骃集解引马融曰：“鱼者，介鳞之物，兵象也。白者，殷家之正色，言殷之兵众与周之象也。”后遂以“白鱼入舟”为殷亡周兴之兆。
白玉微瑕	bai'yu'wei'xia	见“白璧微瑕”。
白云苍狗	bai'yun'cang'gou	同“白衣苍狗”。
白云亲舍	bai'yun'qin'she	《旧唐书·狄仁杰传》：“其亲在河阳别业，仁杰赴并州，登太行山，南望见白云孤飞，谓左右曰：‘吾亲所居，在此云下。’瞻望伫立久之，云移乃行。”后因以“白云亲舍”为思念亲人的典故。
白纸黑字	bai'zhi'hei'zi	①白纸上留下了黑的字。比喻徒具形式。②比喻有确凿的文字凭据。
百八真珠	bai'ba'zhen'zhu	念珠。因念珠每串一百零八颗，故称。
百宝万货	bai'bao'wan'huo	指大量珍宝财物。
百不当一	bai'bu'dang'yi	一百个抵挡不住一个。
百不失一	bai'bu'shi'yi	又作：万无一失。形容绝不会失误。
百不为多，一不为少	bai'bu'wei'duo'-'yi'bu'wei'shao	不为少】	谓难得的好人或好东西。
百不一贷	bai'bu'yi'dai	又作：无一宽免。
百不一遇	bai'bu'yi'yu	一百次中遇不到一次。形容极其难得。
百步穿杨	bai'bu'chuan'yang	《史记·周本纪》：“楚有养由基者，善射者也。去柳叶百步而射之，百发而百中之。左右观者数千人，皆曰善射。”后因以“百步穿杨”形容射术非常高明。
百尺竿头	bai'chi'gan'tou	①桅杆及杂技长竿的顶端。②喻极高的官位和功名。③喻学问、事业有很高的成就。④佛教语。比喻道行达到极高的境界。
百尺无枝	bai'chi'wu'zhi	汉枚乘《七发》：“龙门之桐，高百尺而无枝。”后因以“百尺无枝”比喻罕见的大而有用之材。
百川朝海	bai'chuan'zhao'hai	众水奔流趋向大海。多比喻无数分散的事物都汇集到一处。
百川归海	bai'chuan'gui'hai	见“百川朝海”。
百代文宗	bai'dai'wen'zong	永为后世宗仰的文人。
百读不厌	bai'du'bu'yan	诵读多遍，不感厌倦。语出宋苏轼《送安惇秀才失解西归》诗：“旧书不厌百回读，熟读深思子自知。”后因以“百读不厌”形容文章高超。
百端待举	bai'duan'dai'ju	见“百凡待举”。
百堕俱举	bai'duo'ju'ju	同“百废俱兴”。
百二关河	bai'er'guan'he	同“百二山河”。
百二金瓯	bai'er'jin'ou	同“百二山河”。
百二山川	bai'er'shan'chuan	同“百二山河”。
百二山河	bai'er'shan'he	喻山河险固之地。
百发百中	bai'fa'bai'zhong	①形容射术高明，百不失一。②比喻料事和打算极有把握。
百凡待举	bai'fan'dai'ju	无数事情都等待兴办。
百废待举	bai'fei'dai'ju	见“百废待兴”。
百废待兴	bai'fei'dai'xing	谓许多被废置的事业都等着兴办。
百废具举	bai'fei'ju'ju	见“百废俱举”。
百废具兴	bai'fei'ju'xing	见“百废俱兴”。
百废具作	bai'fei'ju'zuo	同“百废俱兴”。
百废俱举	bai'fei'ju'ju	同“百废俱兴”。
百废俱兴	bai'fei'ju'xing	谓一切废置的事都兴办起来。
百废咸举	bai'fei'xian'ju	同“百废俱兴”。
百感交集	bai'gan'jiao'ji	种种感触交织在一起。形容感慨无比。
百怪千奇	bai'guai'qian'qi	形容花样繁多。
百鬼众魅	bai'gui'zhong'mei	各种妖魔鬼怪。
百花齐放，百家争鸣	bai'hua'qi'fang'-'bai'jia'zheng'ming	家争鸣】	比喻艺术上不同的形式和风格的自由发展，科学上不同学派的自由争论。是中国共产党１９５６年提出的文艺方针。
百花齐放	bai'hua'qi'fang	①谓千百种花同时开放，争奇斗艳。后借喻事物繁茂纷呈。②比喻艺术上的不同形式和风格自由地发展。参见“百花齐放，百家争鸣”。
百喙如一	bai'hui'ru'yi	又作：众口一辞。
百喙一词	bai'hui'yi'ci	见“百喙如一”。
百计千方	bai'ji'qian'fang	谓想尽或用尽所有办法。
百家争鸣	bai'jia'zheng'ming	原指我国战国时期学术界互相辩争的风气。当时学术派别很多，著名的有儒、法、道、墨、名、阴阳、纵横、农、杂等家。他们著书立说，游说争辩，形成“百家争鸣”的局面。这种局面，对当时思想、文化、学术的发展有很大的推动作用。后用以称学术研究中各抒己见以求发展的方法。
百结愁肠	bai'jie'chou'chang	谓愁绪如结无法解开。
百结悬鹑	bai'jie'xuan'chun	比喻衣衫破烂。鹑鸟尾秃，像补缀百结，故云。
百举百捷	bai'ju'bai'jie	见“百举百全”。
百举百全	bai'ju'bai'quan	做一百件事，成功一百件。谓办事万无一失。
百孔千疮	bai'kong'qian'chuang	亦作“百孔千创”。①比喻残破缺漏非常严重。②比喻弊病弱点很多。③比喻困苦不堪。
百孔千创	bai'kong'qian'chuang	见“百孔千疮”。
百口莫辩	bai'kou'mo'bian	谓纵有众多的嘴也不能辩解。
百里挑一	bai'li'tiao'yi	①形容不可多得。②谓挑选严格。
百里之命	bai'li'zhi'ming	指国君的政令。百里，指诸侯国。
百炼成钢	bai'lian'cheng'gang	铁经过多次锻炼，能炼成钢。比喻久经斗争生活的考验，变得非常坚强。
百虑一致	bai'lv'yi'zhi	谓使各种不同的思想归于一致。语出《易·系辞下》：“天下何思何虑，天下同归而殊涂，一致而百虑。”
百媚千娇	bai'mei'qian'jiao	极言娇媚动人。
百密一疏	bai'mi'yi'shu	在极周密的考虑中偶然出现了一点疏忽。
百年不遇	bai'nian'bu'yu	形容很少遇见。
百年大计	bai'nian'da'ji	指有关长远利益的计划或措施。
百年好事	bai'nian'hao'shi	指婚姻喜事。
百年树人	bai'nian'shu'ren	培育人才需要百年。谓育才是百年大计，要付出艰苦的劳动。
百年偕老	bai'nian'xie'lao	谓夫妻共同生活到老。
百年谐老	bai'nian'xie'lao	见“百年偕老”。
百年之好	bai'nian'zhi'hao	永久的好合。指男女结为夫妇。
百年之约	bai'nian'zhi'yue	即婚约。
百品千条	bai'pin'qian'tiao	繁多的名目。
百巧成穷	bai'qiao'cheng'qiong	见“百巧千穷”。
百巧千穷	bai'qiao'qian'qiong	谓有多种才能的人反而贫困不堪。
百忍成金	bai'ren'cheng'jin	《旧唐书·孝友传·张公艺》：“郓州寿张人张公艺，九代同居……麟德中，高宗有事泰山，路过郓州，亲幸其宅，问其义由。其人请纸笔，但书百馀‘忍’字。”后以“百忍成金”形容忍耐的可贵。
百舍重茧	bai'she'zhong'jian	见“百舍重趼”。
百舍重趼	bai'she'zhong'jian	亦作“百舍重茧”。百里一舍，足底老皮上又生出硬皮。形容长途奔走，十分辛劳。
百身何赎	bai'shen'he'shu	见“百身莫赎”。
百身莫赎	bai'shen'mo'shu	亦作“百身何赎”。谓一身虽百死亦不能补偿。
百世不磨	bai'shi'bu'mo	千秋万代永不磨灭。
百世不易	bai'shi'bu'yi	千秋万代永不改变。
百世流芳	bai'shi'liu'fang	美名永传于后世。
百世流芬	bai'shi'liu'fen	见“百世流芳”。
百世一人	bai'shi'yi'ren	谓极难得的人才。
百世之利	bai'shi'zhi'li	世世代代的利益。
百事大吉	bai'shi'da'ji	谓一切顺利；平安无事。
百兽率舞	bai'shou'shuai'wu	谓音乐和谐之声感动群兽相率起舞。
百顺百依	bai'shun'bai'yi	同“百依百随”。
百顺千随	bai'shun'qian'sui	同“百依百随”。
百思不解	bai'si'bu'jie	百般思索也不能理解。
百思莫解	bai'si'mo'jie	见“百思不解”。
百死一生	bai'si'yi'sheng	形容生命极其危险，处于死亡的边缘。
百岁之盟	bai'sui'zhi'meng	同“百年之约”。
百闻不如一见	bai'wen'bu'ru'yi'jian	】	多次听说还不及一次看到。意即耳闻是虚，眼见为实。
百无禁忌	bai'wu'jin'ji	谓一切不忌讳。
百无聊赖	bai'wu'liao'lai	指精神无所依托，非常无聊。
百无是处	bai'wu'shi'chu	又作：一无是处。形容全都是错的，没有一点对的地方。
百无所成	bai'wu'suo'cheng	又作：一事无成。
百无一成	bai'wu'yi'cheng	又作：一事无成。
百无一堪	bai'wu'yi'kan	谓百人中无一人能胜任。
百无一能	bai'wu'yi'neng	百事中无一事能做。形容人无能。
百无一失	bai'wu'yi'shi	见“百不失一”。
百无一是	bai'wu'yi'shi	谓百事之中无一件是正确的。表示对人对事的全盘否定。
百无一用	bai'wu'yi'yong	谓毫无用处。
百务具举	bai'wu'ju'ju	各种事务全都兴办。
百下百全	bai'xia'bai'quan	又作：百发百中，万无一失。
百下百着	bai'xia'bai'zhuo	见“百下百全”。
百依百顺	bai'yi'bai'shun	同“百依百随”。
百依百随	bai'yi'bai'sui	形容什么都顺从。
百载树人	bai'zai'shu'ren	见“百年树人”。
百战百败	bai'zhan'bai'bai	每战必败。
百战百胜	bai'zhan'bai'sheng	每战必胜；战无不胜。
百战不殆	bai'zhan'bu'dai	谓每战必胜，从不打败仗。
百战无前	bai'zhan'wu'qian	又作：所向无敌。
百丈竿头	bai'zhang'gan'tou	佛教语。百丈高的竿子。比喻道行已达极高的境界。
百折不摧	bai'zhe'bu'cui	同“百折不挠”。
百折不回	bai'zhe'bu'hui	同“百折不挠”。
百折不挠	bai'zhe'bu'nao	受到无数挫折都不屈服、动摇。形容意志坚强。
百折不屈	bai'zhe'bu'qu	同“百折不挠”。
百折不移	bai'zhe'bu'yi	屡遭挫折亦不改变其操守。
百折千回	bai'zhe'qian'hui	形容经过种种曲折和纡回。
百拙千丑	bai'zhuo'qian'chou	极言拙劣丑陋。
百紫千红	bai'zi'qian'hong	形容繁花似锦，色彩繁多。
百纵千随	bai'zong'qian'sui	同“百依百随”。
百足不僵	bai'zu'bu'jiang	见“百足之蟲，至死不僵”。
百足之蟲，断而不蹶	bai'zu'zhi'chong'-'duan'er'bu'jue	而不蹶】	见“百足之蟲，至断不蹶”。
百足之蟲，死而不僵	bai'zu'zhi'chong'-'si'er'bu'jiang	而不僵】	同“百足之蟲，至死不僵”。
百足之蟲，至断不蹶	bai'zu'zhi'chong'-'zhi'duan'bu'jue	断不蹶】	同“百足之蟲，至死不僵”。
百足之蟲，至死不僵	bai'zu'zhi'chong'-'zhi'si'bu'jiang	死不僵】	比喻势力雄厚的集体或个人一时不易垮台。
百足之蟲	bai'zu'zhi'chong	①马陆的别名。体长而稍扁，长寸余，由许多环节构成，各节有足一至二对。中断成两截，头尾仍能各自行走。多用以比喻故国、旧家或势位富厚的人。②蜈蚣的俗称。
败不旋踵	bai'bu'xuan'zhong	形容很快就遭到失败。
败材伤锦	bai'cai'shang'jin	《左传·襄公三十一年》：“扞子产谓子皮曰：呴‘子有美锦，不使人学制焉。大官大邑，身之所庇也，而使学者制焉。其为美锦，不亦多乎？’”《孟子·梁惠王下》：“孟子谓齐宣王曰：‘为巨室，则必使工师求大木。工师得大木，则王喜，以为能胜其任也。匠人斫而小之，则王怒，以为不胜其任矣。’”后以“败材伤锦”喻用非其人，伤害国家。
败国丧家	bai'guo'sang'jia	使国破家亡。
败国亡家	bai'guo'wang'jia	见“败国丧家”。
败化伤风	bai'hua'shang'feng	见“败俗伤化”。
败绩失据	bai'ji'shi'ju	谓事业失败而无所凭依。
败井颓垣	bai'jing'tui'yuan	又作：房毁墙坍。形容村舍荒凉。
败军之将	bai'jun'zhi'jiang	战败的将领。
败鳞残甲	bai'lin'can'jia	龙身上散落的鳞甲。比喻纷飞的雪花。
败柳残花	bai'liu'can'hua	比喻风尘女子。
败事有馀，成事不足	bai'shi'you'yu'-'cheng'shi'bu'zu	事不足】	谓非但办不好事情，反而常常把事情搞坏。
败俗伤风	bai'su'shang'feng	见“败俗伤化”。
败俗伤化	bai'su'shang'hua	谓败坏社会道德风气。
败於垂成	bai'yu'chui'cheng	谓临近成功时遭到失败。
拜赐之师	bai'ci'zhi'shi	春秋时，秦晋殽之战，秦将孟明视被俘。获释时，孟谓晋君曰：“三年将拜君赐。”后三年，秦果然出兵伐晋复仇。又败，晋人讥之为“拜赐之师”。见《左传·文公二年》。后因以讽刺为复仇而又失败的出兵。
稗耳贩目	bai'er'fan'mu	比喻见闻浅薄，如商贩之买货卖货。
稗官小说	bai'guan'xiao'shuo	即野史小说，街谈巷说之言。
稗官野史	bai'guan'ye'shi	泛称记载轶闻琐事的文字。
扳龙附凤	ban'long'fu'feng	谓依附龙凤而升空。
班驳陆离	ban'bo'lu'li	见“班駮陆离”。
班駮陆离	ban'bo'lu'li	亦作“班驳陆离”。同“斑駮陆离”。
班荆道故	ban'jing'dao'gu	见“班荆道旧”。
班荆道旧	ban'jing'dao'jiu	亦作“班荆道故”。谓朋友相遇于途，铺荆坐地，共叙情怀。典出《左传·襄公二十六年》：“楚伍参与蔡太师子朝友，其子伍举与声子相善……伍举奔郑，将遂奔晋。声子将如晋，遇之於郑郊，班荆相与食，而言复故。”杜预注：“班，布也。布荆坐地，共议归楚，事朋友世亲。”后泛指朋友相遇，共叙离情。
班门弄斧	ban'men'nong'fu	在鲁班门前摆弄斧子。鲁班即公输班，古代巧匠。比喻在行家面前卖弄本领，不自量力。
班香宋艳	ban'xiang'song'yan	班固和宋玉均善辞赋，以富丽见称，后以“班香宋艳”泛称辞赋之美者。
班衣戏采	ban'yi'xi'cai	相传老莱子七十岁时穿彩衣作兒戏以娱亲。后以“班衣戏采”为老养父母的孝亲典故。
斑驳陆离	ban'bo'lu'li	见“斑駮陆离”。
斑駮陆离	ban'bo'lu'li	亦作“斑驳陆离”。色彩斑斓绚丽貌。
斑衣戏彩	ban'yi'xi'cai	谓身穿彩衣，作婴兒戏耍以娱父母。《北堂书钞》卷一二九引《孝子传》言老莱子年七十，父母尚在，因常服斑衣，为婴兒戏以娱父母。
